Year,Team,Real Win Total,Real Loss Total,Pythag
2012,Lehigh Mountain Hawks,27,8,0.817245719
2012,Liberty University Flames,14,18,0.407350229
2012,Lipscomb Bison,13,18,0.431642227
2012,Long Island Brooklyn Blackbirds,25,9,0.618955747
2012,Longwood Lancers,10,21,0.192943956
2012,Louisiana State Tigers,18,15,0.54542054
2012,Louisiana Tech Bulldogs,18,16,0.503262207
2012,Louisiana-Lafayette Ragin Cajuns,16,16,0.540027777
2012,Louisiana-Monroe Warhawks,3,26,0.146684094
2012,Louisville Cardinals,30,10,0.757650567
2012,Loyola-Chicago Ramblers,7,23,0.275339325
2012,Loyola-Maryland Greyhounds,24,9,0.61814071
2012,Loyola-Marymount Lions,0,2,0.198554271
2012,Maine Black Bears,12,17,0.509033275
2012,Manhattan Jaspers,21,13,0.698065121
2012,Marist Red Foxes,14,18,0.328697207
2012,Marquette Golden Eagles,27,8,0.797348967
2012,Marshall Thundering Herd,21,14,0.592869431
2012,Maryland Terrapins,17,15,0.425870179
2012,Maryland-Baltimore County Retrievers,4,26,0.116309473
2012,Maryland-Eastern Shore Hawks,7,23,0.153208633
2012,Massachusetts Minutemen,25,12,0.650128113
2012,Massachusetts-Lowell River Hawks,0,0,0
2012,McNeese State Cowboys,17,16,0.525649356
2012,Memphis Tigers,26,9,0.849430773
2012,Mercer Bears,27,11,0.696007822
2012,Miami-Florida Hurricanes,20,13,0.665112937
2012,Miami-Ohio Redhawks,9,21,0.358948578
2012,Michigan State Spartans,29,8,0.873772866
2012,Michigan Wolverines,24,10,0.685433406
2012,Middle Tennessee State Blue Raiders,27,7,0.814854107
2012,Minnesota Golden Gophers,23,15,0.607320423
2012,Mississippi Rebels,20,14,0.528284975
2012,Mississippi State Bulldogs,21,12,0.651762154
2012,Mississippi Valley State Delta Devils,21,13,0.485758574
2012,Missouri State Bears,16,16,0.615905449
2012,Missouri Tigers,30,5,0.878065858
2012,Missouri-Kansas City Kangaroos,10,21,0.267801834
2012,Monmouth-New Jersey Hawks,12,20,0.22091235
2012,Montana Grizzlies,25,7,0.774554022
